;Line_Name;p_from_mw;q_from_mvar;p_to_mw;q_to_mvar;pl_mw;ql_mvar;i_from_ka;i_to_ka;i_ka;vm_from_pu;va_from_degree;vm_to_pu;va_to_degree;loading_percent
0;LV Line14.1.1;0,012046394905684734;0,006011056050325166;-0,012021663967594484;-0,006003627879915635;2,4730938090250162e-05;7,428170409530532e-06;0,019140732715758262;0,01914160036970361;0,01914160036970361;1,0152148069187883;-0,26193002103421126;1,013250116742837;-0,24839062278249738;7,909752218885789
1;LV Line14.1.2;0,009021665509717095;0,004503627932249096;-0,009007738382522563;-0,0045000364916197005;1,3927127194531333e-05;3,591440629395655e-06;0,014363681931038968;0,01436454838006726;0,01436454838006726;1,013250116742837;-0,24839062278249738;1,0117757809103685;-0,23820019998946346;5,935763793416223
2;LV Line14.1.3;0,006007740284994558;0,003000037439332161;-0,006001545246963434;-0,0029991918854674142;6,195038031123895e-06;8,45553864746787e-07;0,00957966838434903;0,009580534005707436;0,009580534005707436;1,0117757809103685;-0,23820019998946346;1,0107924928127616;-0,23138827591781386;3,958898349465883
3;LV Line14.1.4;0,003001547390505726;0,0014991936305773642;-0,0029999977372462765;-0,001499997790045506;1,5496532594495675e-06;-8,04159468141899e-07;0,004790999943250473;0,0047918651928391676;0,0047918651928391676;1,0107924928127616;-0,23138827591781386;1,0103007159450308;-0,227974665859915;1,9801095838178377
4;LV Line14.2.1;0,012046394905684734;0,006011056050325166;-0,012021663967594484;-0,006003627879915635;2,4730938090250162e-05;7,428170409530532e-06;0,019140732715758262;0,01914160036970361;0,01914160036970361;1,0152148069187883;-0,26193002103421126;1,013250116742837;-0,24839062278249738;7,909752218885789
5;LV Line14.2.2;0,009021665509717095;0,004503627932249096;-0,009007738382522563;-0,0045000364916197005;1,3927127194531333e-05;3,591440629395655e-06;0,014363681931038968;0,01436454838006726;0,01436454838006726;1,013250116742837;-0,24839062278249738;1,0117757809103685;-0,23820019998946346;5,935763793416223
6;LV Line14.2.3;0,006007740284994558;0,003000037439332161;-0,006001545246963434;-0,0029991918854674142;6,195038031123895e-06;8,45553864746787e-07;0,00957966838434903;0,009580534005707436;0,009580534005707436;1,0117757809103685;-0,23820019998946346;1,0107924928127616;-0,23138827591781386;3,958898349465883
7;LV Line14.2.4;0,003001547390505726;0,0014991936305773642;-0,0029999977372462765;-0,001499997790045506;1,5496532594495675e-06;-8,04159468141899e-07;0,004790999943250473;0,0047918651928391676;0,0047918651928391676;1,0107924928127616;-0,23138827591781386;1,0103007159450308;-0,227974665859915;1,9801095838178377
8;LV Line14.3.1;0,012046394905684734;0,006011056050325166;-0,012021663967594484;-0,006003627879915635;2,4730938090250162e-05;7,428170409530532e-06;0,019140732715758262;0,01914160036970361;0,01914160036970361;1,0152148069187883;-0,26193002103421126;1,013250116742837;-0,24839062278249738;7,909752218885789
9;LV Line14.3.2;0,009021665509717095;0,004503627932249096;-0,009007738382522563;-0,0045000364916197005;1,3927127194531333e-05;3,591440629395655e-06;0,014363681931038968;0,01436454838006726;0,01436454838006726;1,013250116742837;-0,24839062278249738;1,0117757809103685;-0,23820019998946346;5,935763793416223
10;LV Line14.3.3;0,006007740284994558;0,003000037439332161;-0,006001545246963434;-0,0029991918854674142;6,195038031123895e-06;8,45553864746787e-07;0,00957966838434903;0,009580534005707436;0,009580534005707436;1,0117757809103685;-0,23820019998946346;1,0107924928127616;-0,23138827591781386;3,958898349465883
11;LV Line14.3.4;0,003001547390505726;0,0014991936305773642;-0,0029999977372462765;-0,001499997790045506;1,5496532594495675e-06;-8,04159468141899e-07;0,004790999943250473;0,0047918651928391676;0,0047918651928391676;1,0107924928127616;-0,23138827591781386;1,0103007159450308;-0,227974665859915;1,9801095838178377
12;LV Line14.4.1;0,012046394905684734;0,006011056050325166;-0,012021663967594484;-0,006003627879915635;2,4730938090250162e-05;7,428170409530532e-06;0,019140732715758262;0,01914160036970361;0,01914160036970361;1,0152148069187883;-0,26193002103421126;1,013250116742837;-0,2483906227824974;7,909752218885789
13;LV Line14.4.2;0,009021665509717095;0,004503627932249096;-0,009007738382522563;-0,0045000364916197005;1,3927127194531333e-05;3,591440629395655e-06;0,014363681931038968;0,01436454838006726;0,01436454838006726;1,013250116742837;-0,2483906227824974;1,0117757809103685;-0,23820019998946357;5,935763793416223
14;LV Line14.4.3;0,006007740284994558;0,003000037439332161;-0,006001545246963434;-0,002999191885467414;6,195038031123895e-06;8,455538647472206e-07;0,00957966838434903;0,009580534005707436;0,009580534005707436;1,0117757809103685;-0,23820019998946357;1,0107924928127616;-0,23138827591781397;3,958898349465883
15;LV Line14.4.4;0,003001547390505726;0,0014991936305773642;-0,0029999977372462765;-0,001499997790045506;1,5496532594495675e-06;-8,04159468141899e-07;0,004790999943250473;0,0047918651928391676;0,0047918651928391676;1,0107924928127616;-0,23138827591781397;1,0103007159450308;-0,2279746658599151;1,9801095838178377
16;LV Line14.5.1;0,012046394905684734;0,006011056050325166;-0,012021663967594484;-0,006003627879915635;2,4730938090250162e-05;7,428170409530532e-06;0,019140732715758262;0,01914160036970361;0,01914160036970361;1,0152148069187883;-0,26193002103421126;1,013250116742837;-0,24839062278249727;7,909752218885789
17;LV Line14.5.2;0,009021665509717095;0,004503627932249096;-0,009007738382522563;-0,0045000364916197005;1,3927127194531333e-05;3,591440629395655e-06;0,014363681931038968;0,01436454838006726;0,01436454838006726;1,013250116742837;-0,24839062278249727;1,0117757809103685;-0,2382001999894634;5,935763793416223
18;LV Line14.5.3;0,006007740284994558;0,003000037439332161;-0,006001545246963434;-0,0029991918854674142;6,195038031123895e-06;8,45553864746787e-07;0,00957966838434903;0,009580534005707436;0,009580534005707436;1,0117757809103685;-0,2382001999894634;1,0107924928127616;-0,23138827591781377;3,958898349465883
19;LV Line14.5.4;0,003001547390505726;0,0014991936305773642;-0,0029999977372462765;-0,001499997790045506;1,5496532594495675e-06;-8,04159468141899e-07;0,004790999943250473;0,0047918651928391676;0,0047918651928391676;1,0107924928127616;-0,23138827591781377;1,0103007159450308;-0,2279746658599149;1,9801095838178377
