switch_name;bus;element;et;type;closed;z_ohm
LV Switch-A;Bus LV_14.0;LV Line14.1.1;l;LBS;True;0
LV Switch-A;Bus LV14.1.1;LV Line14.1.2;l;LBS;True;0
LV Switch-A;Bus LV14.1.2;LV Line14.1.3;l;LBS;True;0
LV Switch-A;Bus LV14.1.3;LV Line14.1.4;l;LBS;True;0
LV Switch-A;Bus LV_14.0;LV Line14.2.1;l;LBS;True;0
LV Switch-A;Bus LV14.2.1;LV Line14.2.2;l;LBS;True;0
LV Switch-A;Bus LV14.2.2;LV Line14.2.3;l;LBS;True;0
LV Switch-A;Bus LV14.2.3;LV Line14.2.4;l;LBS;True;0
LV Switch-A;Bus LV_14.0;LV Line14.3.1;l;LBS;True;0
LV Switch-A;Bus LV14.3.1;LV Line14.3.2;l;LBS;True;0
LV Switch-A;Bus LV14.3.2;LV Line14.3.3;l;LBS;True;0
LV Switch-A;Bus LV14.3.3;LV Line14.3.4;l;LBS;True;0
LV Switch-A;Bus LV_14.0;LV Line14.4.1;l;LBS;True;0
LV Switch-A;Bus LV14.4.1;LV Line14.4.2;l;LBS;True;0
LV Switch-A;Bus LV14.4.2;LV Line14.4.3;l;LBS;True;0
LV Switch-A;Bus LV14.4.3;LV Line14.4.4;l;LBS;True;0
LV Switch-A;Bus LV_14.0;LV Line14.5.1;l;LBS;True;0
LV Switch-A;Bus LV14.5.1;LV Line14.5.2;l;LBS;True;0
LV Switch-A;Bus LV14.5.2;LV Line14.5.3;l;LBS;True;0
LV Switch-A;Bus LV14.5.3;LV Line14.5.4;l;LBS;True;0
LV Switch-B;Bus LV14.1.1;LV Line14.1.1;l;LBS;True;0
LV Switch-B;Bus LV14.1.2;LV Line14.1.2;l;LBS;True;0
LV Switch-B;Bus LV14.1.3;LV Line14.1.3;l;LBS;True;0
LV Switch-B;Bus LV14.1.4;LV Line14.1.4;l;LBS;True;0
LV Switch-B;Bus LV14.2.1;LV Line14.2.1;l;LBS;True;0
LV Switch-B;Bus LV14.2.2;LV Line14.2.2;l;LBS;True;0
LV Switch-B;Bus LV14.2.3;LV Line14.2.3;l;LBS;True;0
LV Switch-B;Bus LV14.2.4;LV Line14.2.4;l;LBS;True;0
LV Switch-B;Bus LV14.3.1;LV Line14.3.1;l;LBS;True;0
LV Switch-B;Bus LV14.3.2;LV Line14.3.2;l;LBS;True;0
LV Switch-B;Bus LV14.3.3;LV Line14.3.3;l;LBS;True;0
LV Switch-B;Bus LV14.3.4;LV Line14.3.4;l;LBS;True;0
LV Switch-B;Bus LV14.4.1;LV Line14.4.1;l;LBS;True;0
LV Switch-B;Bus LV14.4.2;LV Line14.4.2;l;LBS;True;0
LV Switch-B;Bus LV14.4.3;LV Line14.4.3;l;LBS;True;0
LV Switch-B;Bus LV14.4.4;LV Line14.4.4;l;LBS;True;0
LV Switch-B;Bus LV14.5.1;LV Line14.5.1;l;LBS;True;0
LV Switch-B;Bus LV14.5.2;LV Line14.5.2;l;LBS;True;0
LV Switch-B;Bus LV14.5.3;LV Line14.5.3;l;LBS;True;0
LV Switch-B;Bus LV14.5.4;LV Line14.5.4;l;LBS;True;0
