cms_toggle;P_set
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
1;-0.289877804460692
0;0.0
0;0.0
0;0.0
1;-7.335225909050022
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
1;-0.4029142440212243
1;-3.519217679393652
1;-5.3157163111507035
1;-6.360582862512672
1;-6.860677091219811
1;-5.901276605864924
1;-3.2834803453999237
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
0;0.0
1;-13.71301030153109
1;-11.760505109178157
1;-8.642846150125747
1;-5.207460243933804
1;-2.1315667285860145
0;0.0
0;0.0
0;0.0
0;0.0
